"BehaviorSpace results (NetLogo 6.1.1)"
"model-1-exp.nlogo"
"experiment-25Sept2021-b"
"09/25/2021 01:36:36:400 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","[step]","number-of-people","number-of-built-systems","max-access-potential","min-access-potential","built-sys-state-min","built-sys-state-max","random-damage-limit","network-radius","seek-capability-when","share-access-potential","capability-call-help","capability-high","capability-low","capability-lim","built-sys-capability-output","built-sys-operation-threshold","sum-access-potential","avg-network-size","avg-built-sys-links-per-person","global-mean-capability-attainment","stdev-global-capability-attainment","capability-good-level-%","capability-acceptable-level-%","capability-unacceptable-level-%","avg-built-sys-state","stdev-built-sys-state","aggr-system-damages","aggr-system-recoveries","aggr-capability-provided","aggr-capability-help","aggr-access-potential-transferred","access-potential-initial-global-mean","access-potential-initial-global-stdev","max-global-mean-capability-attainment","min-global-mean-capability-attainment","max-global-mean-system-state","min-global-mean-system-state","access-potential-final-global-mean","access-potential-final-global-stdev"
"30","978","200","12","1","0","0.3","0.9","28.33","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","97.32999999999996","6.33","4.75","0","0","0","0","100","0.13832337549693147","0.04887134753545486","25389.637368727173","22337.723100000036","84602.38944580074","12201.889445800785","0","0.4866500000000002","0.28712275227569806","0.6161615234375","0","0.5574666194366772","0.13832337549693147","0.48664999999999986","0.287122752275698"
"33","1070","200","12","1","0","0.3","0.9","24.35","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","97.63999999999997","5.775","4.815","0.009375","0.040967223999327236","0","0","100","0.18494196518512854","0.021296398226891375","31223.775374869405","30026.8075","106402.28806640639","14996.038066406252","0","0.4882000000000002","0.2924489561612402","0.6188505859374999","0.009375","0.6743123230716684","0.18494196518512854","0.48819999999999963","0.29244895616124017"
"32","900","200","12","1","0","0.3","0.9","26.12","45","avg-capability-attainment < capability-high","yes, through personal transfers","false","0.75","0.5","0.25","capability-high","0.2","95.95999999999998","5.815","5.185","0","0","0","0","100","0.16068825190054223","0.038882419471998886","23970.387420362327","24075.182700000016","73572.75","0","2320.0697092866912","0.4798000000000001","0.2905184414527253","0.549375","0","0.5212352732215758","0.16068825190054223","0.47980000000000006","0.2905184414527253"
"34","988","200","12","1","0","0.3","0.9","24.75","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","95.30999999999999","6.275","5.715","0","0","0","0","100","0.15838100131661587","0.04020489483772655","27457.572004903574","25862.644700000015","91681.87510742179","12685.875107421864","0","0.4765499999999999","0.2938799493383576","0.6154792480468751","0","0.5705432766567098","0.15838100131661587","0.47655000000000014","0.2938799493383575"
"36","1089","200","12","1","0","0.3","0.9","23.67","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","101.56999999999996","6.335","5.23","0","0","0","0","100","0.1727495206941907","0.033186412361680045","33798.6676488501","33529.60980000002","104673","0","62094.98724421096","0.50785","0.28536299285023314","0.6403125","0","0.5876054763878403","0.1727495206941907","0.5078500000000011","1.2243099374948809E-15"
"27","3000","200","12","1","0","0.3","0.9","1.07","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","95.81999999999991","6.07","5.49","0.5735210937499999","0.1462995280557217","77","21","2","0.7991704360082531","0.12366986407967037","29970.14555670836","38155.20520000007","323536.55436279246","42396.80436279308","0","0.47909999999999997","0.29334869572989786","0.6135123046875001","0.4936960449218751","0.7991704360082531","0.561445298580959","0.4790999999999999","0.2933486957298979"
"35","1340","200","12","1","0","0.3","0.9","22.05","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","99.58","6.575","5.12","0","0","0","0","100","0.17003608962978878","0.03681160520967074","38697.90919049569","39106.280999999995","127416.75","0","76953.93053287095","0.4978999999999996","0.28735597659772477","0.6403125","0","0.619796205171475","0.17003608962978878","0.49790000000000106","1.2799603891991935E-15"
"29","3000","200","12","1","0","0.3","0.9","3.93","45","avg-capability-attainment < capability-high","no","false","0.75","0.5","0.25","capability-high","0.2","98.30999999999997","6.545","5.62","0.489375","0.2198451587918665","65","16","19","0.652758853524681","0.20423143666953616","35662.54783297464","43324.56009999999","283320","0","0","0.49154999999999993","0.27834777693493995","0.5596875","0.4265625","0.6527588535246809","0.5351567165791333","0.4915500000000001","0.2783477769349399"
"39","926","200","12","1","0","0.3","0.9","27.26","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","107.57999999999998","6.25","4.775","0","0","0","0","100","0.15936872888350984","0.03235942760767152","25373.92922733284","25128.302200000006","77841","0","54845.5707042917","0.5378999999999998","0.29646254434751956","0.5990625","0","0.5592553992530246","0.1593687288835098","0.5378999999999975","2.337318971581136E-15"
"40","1159","200","12","1","0","0.3","0.9","24.34","45","avg-capability-attainment < capability-high","yes, through a community fund","false","0.75","0.5","0.25","capability-high","0.2","94.12000000000002","5.84","4.945","0","0","0","0","100","0.15917443742048928","0.03589258575884668","27912.496931566962","28160.708700000025","87506.25","0","64436.29723911661","0.47060000000000024","0.27822235422762087","0.5296875","0","0.6071404771398714","0.15917443742048928","0.47060000000000085","6.678054204517532E-16"
"42","753","200","12","1","0","0.3","0.9","30.76","45","avg-capability-attainment < capability-high","no","true","0.75","0.5","0.25","capability-high","0.2","102.42999999999999","5.965","4.96","0","0","0","0","100","0.14313468088093081","0.027696495683747695","20872.96726297223","18248.473","60606.96150390625","7887.211503906249","0","0.5121499999999999","0.29580293164852056","0.6292550781250003","0","0.489441042724266","0.14313468088093081","0.51215","0.29580293164852045"
